mode,window,scenario,scenario_kind,scenario_value,input_bytes,hash_match,sender_duration_seconds,sender_throughput_bytes_per_second,sender_retransmissions,receiver_duration_seconds,receiver_retransmissions
gbn,4,L0,latency,0,16320,True,0.009027331000652339,1807843.3147982138,0,0.2595426160005445,0
gbn,4,L1,latency,50,16320,True,0.9618222909994074,16967.791402549283,0,1.2213596860001417,0
gbn,4,L2,latency,100,16320,True,1.9166591779994633,8514.815877194296,23,2.19977019199996,1
gbn,4,L3,latency,150,16320,True,2.8645627339992643,5697.204605191304,59,3.122100620999845,1
gbn,4,P0,loss,0,16320,True,0.00443235700004152,3682013.881067595,0,0.26220227100020566,0
gbn,4,P1,loss,1,16320,True,0.10525774400048249,155047.97442671002,1,0.35634310099976574,0
gbn,4,P2,loss,5,16320,True,0.005670781999469909,2877909.96048262,12,0.2552881809997416,0
gbn,4,P3,loss,10,16320,True,0.2158148340004118,75620.38112713263,77,0.4704951269995945,0
gbn,4,P4,loss,25,16320,True,0.31292357799975434,52153.308818464335,117,0.5707851189999928,0
gbn,4,R0,reorder,0,16320,True,0.3898084630000085,41866.715448914314,0,0.6396453990000737,0
gbn,4,R1,reorder,10,16320,True,0.3948615350000182,41330.944023198535,0,0.644618876000095,0
gbn,4,R2,reorder,25,16320,True,0.3935452960004113,41469.17817557383,20,0.6438762920006411,0
gbn,16,L0,latency,0,16320,True,0.004401766999762913,3707601.97004499,0,0.24713151899959485,0
gbn,16,L1,latency,50,16320,True,0.3567554340006609,45745.6241576681,0,0.6891830909999044,0
gbn,16,L2,latency,100,16320,True,0.7086509520004256,23029.67342939546,34,0.9528934259997186,1
gbn,16,L3,latency,150,16320,True,1.0566085390000808,15445.644623925145,51,1.3085648559999754,1
gbn,16,P0,loss,0,16320,True,0.004614805000528577,3536444.118035479,0,0.25245483700018667,0
gbn,16,P1,loss,1,16320,True,0.004621598000085214,3531246.1187016023,0,0.25666970099973696,0
gbn,16,P2,loss,5,16320,True,0.06447168099930423,253134.39555230652,700,0.3145092349996048,0
gbn,16,P3,loss,10,16320,True,0.14318852799988235,113975.61123062462,871,0.386570546999792,0
gbn,16,P4,loss,25,16320,True,0.30310553400067874,53842.63290937953,2040,0.5704001869999047,0
gbn,16,R0,reorder,0,16320,True,0.1447132760004024,112774.72565789071,0,0.3858445309997478,0
gbn,16,R1,reorder,10,16320,True,0.14553611799965438,112137.11224617629,0,0.39724842499981605,0
gbn,16,R2,reorder,25,16320,True,0.18830370500018034,86668.50182254444,1977,0.4481095950004601,0
