mode,window,scenario,scenario_kind,scenario_value,input_bytes,hash_match,sender_duration_seconds,sender_throughput_bytes_per_second,sender_retransmissions,receiver_duration_seconds,receiver_retransmissions
saw,1,L0,latency,0,16320,True,0.01086460500027897,1502125.4799029464,0,0.27525917300044966,0
saw,1,L1,latency,50,16320,True,3.394899752999663,4807.211165979197,0,3.631687234999845,0
saw,1,L2,latency,100,16320,True,6.7466005200003565,2418.9960486943337,65,6.987978959000429,1
saw,1,L3,latency,150,16320,True,10.107744644000377,1614.603511940422,67,10.35004815100001,2
saw,1,P0,loss,0,16320,True,0.007595969999783847,2148507.695589162,0,0.26653235199955816,0
saw,1,P1,loss,1,16320,True,0.11688133699954051,139628.79291895984,1,0.3769250489995102,0
saw,1,P2,loss,5,16320,True,0.4208039869999993,38782.90250134922,4,0.6807284059996164,0
saw,1,P3,loss,10,16320,True,0.530025107000256,30790.99420849156,5,0.784895544000392,0
saw,1,P4,loss,25,16320,True,2.854768778000107,5716.750206100015,28,3.091910555999675,0
