mode,window,scenario,scenario_kind,scenario_value,input_bytes,hash_match,sender_duration_seconds,sender_throughput_bytes_per_second,sender_retransmissions,receiver_duration_seconds,receiver_retransmissions
saw,1,L0,latency,0,16320,True,0.007785099000102491,2096312.455343875,0,0.2599921999999424,0
saw,1,L1,latency,50,16320,True,3.402127289999953,4796.998644927311,0,3.6848154110002724,0
saw,1,L2,latency,100,16320,True,6.744180677000259,2419.8639955860385,66,7.003430501999901,1
saw,1,L3,latency,150,16320,True,10.105884655000409,1614.9006798652542,67,10.351951557000575,1
saw,1,P0,loss,0,16320,True,0.0077064010001777206,2117720.0614948063,0,0.28261577899957047,0
saw,1,P1,loss,1,16320,True,0.1217333159993359,134063.5459243469,1,0.3957904420003615,0
saw,1,P2,loss,5,16320,True,0.4271771069998067,38204.29450122051,4,0.7133525389999704,0
saw,1,P3,loss,10,16320,True,0.9270509540001513,17604.21035066141,9,1.1427098700005445,0
saw,1,P4,loss,25,16320,True,2.2426729039998463,7277.030890636345,22,2.4949214629996277,0
